Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
The Name of the Wind,Patrick Rothfuss,Rupert Degas (Narrator),9781409109549,audio,read,2021/12/28,"","",1,"",,,,,,,,,"",,"",No
The Way of Kings,Brandon Sanderson,"",9780765326355,hardcover,read,2021/12/06,"","",1,"",,,,,,,,,"",,"",No
The Waste Books,Georg Christoph Lichtenberg,"",9780940322509,paperback,to-read,2024/09/04,"","",0,"",,,,,,,,,"",,"",No
The Slow Regard of Silent Things,Patrick Rothfuss,"",9781473209329,hardcover,read,2021/12/28,2023/05/30,2023/05/28-2023/05/30,1,"",,,,,,,,,"",,"",Yes
Children of Time,Adrian Tchaikovsky,"",9781447273288,hardcover,to-read,2024/08/06,"","",0,"",,,,,,,,,"",,"",No
The Priory of the Orange Tree,Samantha Shannon,"",9781635570298,hardcover,read,2022/01/29,2022/09/05,2022/05/02-2022/09/05,1,"",,,,,,,,,"",,"",No
The Sunlit Man,Brandon Sanderson,William DeMeritt (Narrator),9781938570452,audio,read,2024/01/11,2024/02/23,2024/01/11-2024/02/23,1,"",,,,,,,,,"",,"",No
Twilight,Stephenie Meyer,"",9780316015844,paperback,read,2013/08/13,"","",1,"",,,,,,,1.0,,"",,"",No
The House of Silk,Anthony Horowitz,"",9780316196994,hardcover,read,2013/08/13,2013/08/10,2013/08/10,1,"",,,,,,,4.0,,"",,"",No
Beowulf,Unknown,Seamus Heaney (Translator),9780571203765,paperback,read,2024/08/11,2024/09/11,2024/08/11-2024/09/11,1,"",,,,,,,,,"",,"",No
The Republic of Thieves,Scott Lynch,Michael Page (Narrator),9780593163405,audio,read,2023/10/24,2023/11/10,2023/09/19-2023/11/10,1,"",,,,,,,,,"",,"",No
Snakehead,Anthony Horowitz,"",,paperback,read,2021/12/06,"","",1,"",,,,,,,,,"",,"",No
The Singularity Trap,Dennis E. Taylor,Ray Porter (Narrator),B07BHVR59C,audio,read,2024/02/25,2024/03/28,2024/02/25-2024/03/28,1,"",,,,,,,,,"",,"",No
Secret History,Brandon Sanderson,"",,paperback,read,2021/12/06,"","",1,"",,,,,,,,,"",,"",No
The Eye of the World,Robert Jordan,"","",paperback,read,2021/12/06,2021/10,2021/10,1,"funny, mysterious, emotional, hopeful, adventurous",medium,Plot,Yes,Yes,Yes,Yes,4.0,"","","","",No
Mrs. Dalloway,Virginia Woolf,Maureen Howard,9780151009985,hardcover,read,2021/12/28,"","",1,"",,,,,,,,,"",,"",No
Foundation,Isaac Asimov,"",9780586010808,paperback,read,2022/10/22,2022/10/22,2022/10/22,1,"",,,,,,,,,"",,"",No
Before the Coffee Gets Cold,Toshikazu Kawaguchi,Geoffrey Trousselot (Translator),9781529029581,paperback,read,2021/12/13,2022/02/25,2022/02/17-2022/02/25,1,"",,,,,,,,,"",,"",No
Eagle Strike,Anthony Horowitz,"",0142406139,paperback,read,2021/12/06,"","",1,"",,,,,,,,,"",,"",No
Pachinko,Min Jin Lee,"",9781786691378,paperback,read,2024/01/17,"","",1,"",,,,,,,,,"",,"",Yes
Paradise Lost,John Milton,John Leonard (Contributor),9780140424393,paperback,read,2013/08/13,"","",1,"",,,,,,,,,"",,"",No
The Great Gatsby,F. Scott Fitzgerald,Matthew J. Bruccoli,9780684801520,paperback,read,2013/08/13,"","",1,"",,,,,,,5.0,,"",,"",No
House of Open Wounds,Adrian Tchaikovsky,"",9781035901371,paperback,to-read,2024/09/11,"","",0,"",,,,,,,,,"",,"",No
Ella Minnow Pea,Mark Dunn,"",9780385722438,paperback,to-read,2024/09/03,"","",0,"",,,,,,,,,"",,"",No
The Song of Achilles,Madeline Miller,"",9781408816035,hardcover,read,2021/12/28,2022/01/09,2021/12/28-2022/01/09,1,"",,,,,,,,,"",,"",No
Red Rising,Pierce Brown,"",9781444758993,paperback,read,2023/09/02,2024/01/20,2024/01/16-2024/01/20,1,"",,,,,,,,,"",,"",Yes
The Bear and the Nightingale,Katherine Arden,"",9781785031052,paperback,currently-reading,2025/01/02,"","",0,"",,,,,,,,,"",,"",Yes
Moriarty,Anthony Horowitz,"",9780062377180,hardcover,read,2021/12/06,2021/10,2021/10,1,"",fast,Plot,No,No,No,It's complicated,1.5,"","","","",No
Legends & Lattes,Travis Baldree,"",9798985663211,paperback,to-read,2023/09/02,"","",0,"",,,,,,,,,"",,"",No
Shadows of Self,Brandon Sanderson,Michael Kramer (Narrator),9781427262240,audio,read,2021/12/06,2023/01/25,2022/12/25-2023/01/25,1,"",,,,,,,,,"",,"",No
Ring Shout,P. Djèlí Clark,"",9781250767028,hardcover,read,2024/02/16,2024/02/23,2024/02/15-2024/02/23,1,"",,,,,,,,,"",,"",Yes
Point Blank,Anthony Horowitz,"","",paperback,read,2021/12/06,"","",1,"",,,,,,,,,"",,"",No
Eleanor Oliphant Is Completely Fine,Gail Honeyman,"",9780735220683,hardcover,read,2022/02/01,2022/02/04,2022/02/01-2022/02/04,1,"",,,,,,,,,"",,"",No
Red Seas Under Red Skies,Scott Lynch,Michael Page (Narrator),B00NE4QH2E,audio,read,2023/07/04,2023/09/18,2023/07/04-2023/09/18,1,"",,,,,,,,,"",,"",No
Scorpia Rising,Anthony Horowitz,"","",paperback,read,2021/12/06,"","",1,"",,,,,,,,,"",,"",No
The Goldfinch,Donna Tartt,David Pittu (Narrator),9781600247118,audio,read,2021/12/28,"","",1,"",,,,,,,,,"",,"",No
Wind and Truth,Brandon Sanderson,"Michael Kramer (Narrator), Kate Reading (Narrator)",9781399601351,audio,currently-reading,2024/12/20,"","",0,"",,,,,,,,,"",,"",No
